setting,duration,pooling,pooling_display,tag,ap,pr_auc,roc_auc,support_pos_eval,train_count,setting_display
dur_8.0_mean,8.0,mean,mean,dance,0.6835337669534605,0.6733135510144279,0.9726648529602281,31,521,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,drums,0.610879899253555,0.606497311961515,0.8680426356589147,129,2069,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,drums,0.7049443761300838,0.7029770310870165,0.8921899224806202,129,2069,0.5s_max
dur_0.5_mean,0.5,mean,mean,drums,0.6086356862220982,0.6042004869574744,0.8674806201550388,129,2069,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,drums,0.6737528365442196,0.6704907734988262,0.8882945736434109,129,2069,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,drums,0.7207394193028233,0.718512807376348,0.8989922480620155,129,2069,1.0s_max
dur_1.0_mean,1.0,mean,mean,drums,0.6741821020741532,0.6715594239143434,0.8885271317829457,129,2069,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,drums,0.6751778363295367,0.6718516174809989,0.8882945736434108,129,2069,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,drums,0.7312204913383401,0.7290351910375589,0.9043604651162791,129,2069,2.0s_max
dur_2.0_mean,2.0,mean,mean,drums,0.6753794754247922,0.6719941057396759,0.8891472868217054,129,2069,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,drums,0.6779366148481948,0.6747633879844532,0.8888953488372093,129,2069,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,drums,0.7200329852063045,0.7170737012789042,0.9066279069767442,129,2069,4.0s_max
dur_4.0_mean,4.0,mean,mean,drums,0.6791046079784249,0.6759799643342742,0.89,129,2069,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,drums,0.6741582515962709,0.6711480298303258,0.8871511627906976,129,2069,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,drums,0.718275005569278,0.7160503041234261,0.9042248062015503,129,2069,8.0s_max
dur_8.0_mean,8.0,mean,mean,drums,0.6767206297566121,0.6736140400670343,0.8888759689922481,129,2069,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,electronic,0.7533486826774712,0.7514590700505709,0.9342655094824815,102,2050,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,electronic,0.5131733512278907,0.5090212979721517,0.7974698075951692,102,2050,0.5s_max
dur_0.5_mean,0.5,mean,mean,electronic,0.750212931947099,0.7485641151326846,0.9339899894383984,102,2050,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,electronic,0.7735877542675278,0.7716137132990266,0.9431051108968178,102,2050,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,electronic,0.7048005860309182,0.7027135576774657,0.9057032649125223,102,2050,1.0s_max
dur_1.0_mean,1.0,mean,mean,electronic,0.7701599677753312,0.7682580568711166,0.9432428709188594,102,2050,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,electronic,0.77320435613875,0.7710898010658153,0.9429903108784498,102,2050,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,electronic,0.7657125423943337,0.7634957654913361,0.9263672682187629,102,2050,2.0s_max
dur_2.0_mean,2.0,mean,mean,electronic,0.7726524984204913,0.7707279195158345,0.9438857510217202,102,2050,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,electronic,0.772587794106765,0.7701445108824816,0.9418882307021169,102,2050,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,electronic,0.7912847626165871,0.7897982986539658,0.9423933507829362,102,2050,4.0s_max
dur_4.0_mean,4.0,mean,mean,electronic,0.7710609448759815,0.7694760276376517,0.9425770308123249,102,2050,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,electronic,0.7692315541176535,0.7664784417826739,0.9403728704596592,102,2050,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,electronic,0.7926795275727408,0.7905648964754977,0.9417045506727281,102,2050,8.0s_max
dur_8.0_mean,8.0,mean,mean,electronic,0.7695617008113477,0.7668553626632847,0.9408091105294577,102,2050,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,fast,0.594444427225969,0.5919312139883639,0.8154935531600085,114,1882,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,fast,0.6244654866391397,0.6220977351151263,0.8183470725005284,114,1882,0.5s_max
dur_0.5_mean,0.5,mean,mean,fast,0.5904463372703204,0.5878611384981928,0.8144366941450011,114,1882,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,fast,0.6264175494190417,0.6232521430453493,0.8380891989008666,114,1882,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,fast,0.6745933714330998,0.6723036466517586,0.8550200803212851,114,1882,1.0s_max
dur_1.0_mean,1.0,mean,mean,fast,0.6195380364599546,0.6170894375761282,0.8368843796237582,114,1882,1.0s_mean
dur_2.0_attention,2.0,attention,heuristic_attention,fast,0.6302717550804855,0.627500395307647,0.8404988374550835,114,1882,2.0s_heuristic_attention
dur_2.0_max,2.0,max,max,fast,0.6769549133606034,0.6749258463737552,0.8568167406467977,114,1882,2.0s_max
dur_2.0_mean,2.0,mean,mean,fast,0.6270535867815873,0.6243303462533236,0.8403297400126823,114,1882,2.0s_mean
dur_4.0_attention,4.0,attention,heuristic_attention,fast,0.629702092602323,0.6269448672969969,0.8418516169942929,114,1882,4.0s_heuristic_attention
dur_4.0_max,4.0,max,max,fast,0.686607042649723,0.6845906717462202,0.8606214331008244,114,1882,4.0s_max
dur_4.0_mean,4.0,mean,mean,fast,0.6250770462083646,0.6222329507243144,0.8414077362079898,114,1882,4.0s_mean
dur_8.0_attention,8.0,attention,heuristic_attention,fast,0.6273759291318894,0.624761124959382,0.8403086028323821,114,1882,8.0s_heuristic_attention
dur_8.0_max,8.0,max,max,fast,0.6912285745598874,0.6889877926230557,0.8629253857535405,114,1882,8.0s_max
dur_8.0_mean,8.0,mean,mean,fast,0.6228573250332117,0.6202849137709016,0.8402240541111816,114,1882,8.0s_mean
dur_0.5_attention,0.5,attention,heuristic_attention,female,0.5807397046470063,0.5714117969908177,0.9048411048411048,74,1196,0.5s_heuristic_attention
dur_0.5_max,0.5,max,max,female,0.6461645281366138,0.6410236020239161,0.9327591327591328,74,1196,0.5s_max
dur_0.5_mean,0.5,mean,mean,female,0.5925066127269256,0.5862084742686151,0.9071577071577072,74,1196,0.5s_mean
dur_1.0_attention,1.0,attention,heuristic_attention,female,0.6609561127842044,0.6515704723917715,0.9267894267894268,74,1196,1.0s_heuristic_attention
dur_1.0_max,1.0,max,max,female,0.7495446854923559,0.743228337453734,0.9508167508167509,74,1196,1.0s_max
dur_1.0_mean,1.0,mean,mean,female,0.6646870010999288,0.6554462601732448,0.928987228987229,74,1196,1.0s_mean
