tag,support_pos_eval,ap_clean,pr_auc_clean,roc_auc_clean,ap_noise_snr20,pr_auc_noise_snr20,roc_auc_noise_snr20,ap_time_stretch_1p1,pr_auc_time_stretch_1p1,roc_auc_time_stretch_1p1,ap_compression_gamma0p6,pr_auc_compression_gamma0p6,roc_auc_compression_gamma0p6,drop_noise_ap,drop_stretch_ap,drop_compression_ap,mean_ap_drop
man,45,0.554494983431989,0.5376644048191194,0.9269513314967861,0.46127217900335427,0.44376750943210463,0.925068870523416,0.5031174877921751,0.4875998988254606,0.9095959595959595,0.4772215503832444,0.4602426774045997,0.9185950413223141,0.09322280442863473,0.051377495639813864,0.07727343304874462,0.0739579110390644
violin,78,0.8238336931529321,0.8191331012159283,0.9593780203536301,0.76085994618839,0.7557222187067391,0.9392233782477685,0.8043145164933815,0.8014876588052564,0.9521860253567571,0.702211453215112,0.6981986061901901,0.9151742566376713,0.06297374696454205,0.019519176659550608,0.12162223993782006,0.06803838785397091
harpsichord,45,0.799173874485976,0.796039805390354,0.9593204775022957,0.7198062216151472,0.7159849589068593,0.9410927456382002,0.7750214426457949,0.7700532323687854,0.9518365472910927,0.6995869354564936,0.6954879190576609,0.9388429752066114,0.07936765287082881,0.02415243184018112,0.09958693902948235,0.06770234124683076
piano,80,0.6319221185844196,0.6293388515743568,0.8748608017817372,0.5532522305881735,0.5486526650382326,0.8463530066815146,0.6123309054274882,0.6085247821080098,0.8656737193763919,0.5272474753065916,0.5226949928227446,0.8334075723830735,0.07866988799624608,0.019591213156931353,0.10467464327782805,0.0676452481436685
flute,36,0.6081023847127877,0.6022289516602779,0.8804935767410413,0.5756363232987907,0.5696415437022749,0.8539553752535497,0.6027646811308255,0.5957039198059076,0.8776763578994816,0.4661882167885983,0.45751704380140534,0.8096686950642327,0.032466061413996994,0.005337703581962172,0.14191416792418937,0.05990597764004951
guitar,215,0.9054224941470563,0.9049252387733695,0.9220856169456377,0.8440576223171259,0.8433235262486263,0.8877795882091543,0.8939641232924711,0.8934595089941422,0.913020293289883,0.8108721293569996,0.8101077343389005,0.8590875425862835,0.061364871829930445,0.011458370854585231,0.09455036479005674,0.05579120249152414
singing,71,0.4732108998600415,0.46642238476178666,0.8709637739098346,0.42563447323851394,0.4177309049114295,0.8315394550710375,0.4387665487078661,0.43285450198326786,0.8657359001168583,0.39756578933173,0.3879079963225315,0.8379974168153023,0.04757642662152756,0.03444435115217542,0.07564511052831152,0.0525552961006715
indian,53,0.5600019801782995,0.5538406540672158,0.8932931663231329,0.5334827577665553,0.5266352863883755,0.8726811479308706,0.5214671894231108,0.5146660003390437,0.8802521008403361,0.4697032790629624,0.45939730898356973,0.853892500396385,0.026519222411744203,0.03853479075518873,0.09029870111533711,0.05178423809409002
vocals,76,0.4891222398566427,0.4848807407012213,0.8484663645869641,0.443275958138337,0.43870673753653955,0.8115196932729174,0.4655440073708148,0.4608118421768734,0.8428895085395608,0.4086291666468042,0.39981720302519486,0.8086150807482282,0.04584628171830574,0.02357823248582791,0.0804930732098385,0.04997252913799072
strings,155,0.7594373850401976,0.7574065776958152,0.8947904088321545,0.706031923277477,0.7043848503931825,0.8527514231499052,0.7424230677438317,0.7401458204019948,0.8828704502328791,0.68078617206944,0.6789935498940672,0.8425392444367776,0.05340546176272065,0.017014317296365933,0.07865121297075761,0.049690330676614734
electronic,102,0.770796538930977,0.7686803416369807,0.9425540708086513,0.7206810797256958,0.7185646533856778,0.9224181475869037,0.7575384295776788,0.7552538891600412,0.9382835101253617,0.6903885200363321,0.6877908195455642,0.9093539054966249,0.050115459205281154,0.013258109353298186,0.08040801889464488,0.04792719581774141
cello,23,0.6303720300471842,0.6155329514690535,0.9636535487197113,0.5295438072859346,0.5170348879325953,0.9379618491149682,0.6577991610341913,0.6495010487649977,0.9569513662141261,0.5611634474917182,0.5484084323755909,0.9424299707853583,0.10082822276124959,-0.02742713098700711,0.06920858255546602,0.047536558109902836
synth,98,0.6947584840658715,0.6916032558289862,0.921066338368294,0.6435447440314283,0.6406549962437297,0.901202708461575,0.6762135776223253,0.6739817322602585,0.9147923670628345,0.6295505415933929,0.6249131096610246,0.8878734788579005,0.051213740034443234,0.018544906443546227,0.06520794247247863,0.044988862983489364
slow,196,0.7222619485709248,0.7201420757526914,0.8304069375497947,0.6871899429166597,0.6855137393604557,0.8026904455475884,0.719184590292961,0.7174679406403452,0.823282466139609,0.6388771001277768,0.6345398405856,0.7874302874302874,0.03507200565426516,0.0030773582779638486,0.08338484844314809,0.040511404125125695
